message_id,timestamp,channel,label,scam_type,language,message_text_original,message_text_english,message_text_roman,sender_type,contains_url,urgency_words,threat_words,financial_keywords,confidence,annotator_id,notes,scam_indicators,target_entity,risk_severity
ISDD_WHATSAPP_01709,2026-05-12T10:45:00Z,EMAIL,0,,marathi,मी तुम्हाला संध्याकाळी भेटू. ठीक आहे का? (21) [v1709],I will meet you this evening. OK? (21) [v1709],Mi tumhala sandhyakali bhetu. (21),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_00101,2026-05-12T10:03:00Z,WHATSAPP,0,,hindi,"माँ, मैं होस्टल पहुँच गया। एक घंटे बाद कॉल करूँगा। (7) [v101]","Mom, I reached the hostel. Will call in an hour. (7) [v101]","Maa, hostel pahunch gaya. (7)",personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_01684,2026-05-12T10:13:00Z,EMAIL,0,,english,Reminder: Team standup at 10 AM in Room 204. (46) [v1684],Reminder: Team standup at 10 AM in Room 204. (46) [v1684],Standup 10 AM room 204 (46),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_01836,2026-05-12T10:40:00Z,SMS,1,KYC_FRAUD,marathi,PAN verification अनिवार्य है. लगेच: http://isdd-synthetic.invalid/update [v1836],PAN verification अनिवार्य है. Immediately: http://isdd-synthetic.invalid/update [v1836],PAN verification अनिवार्य है. Lagech: http://isdd-synthetic.invalid/update,unknown,True,True,False,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_SMS_01833,2026-05-12T10:38:00Z,SMS,1,KYC_FRAUD,marathi,PAN verification अनिवार्य है. लगेच: http://example-training.invalid/verify [v1833],PAN verification अनिवार्य है. Immediately: http://example-training.invalid/verify [v1833],PAN verification अनिवार्य है. Lagech: http://example-training.invalid/verify,unknown,True,True,False,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_EMAIL_00529,2026-05-12T10:25:00Z,SMS,1,BANK_IMPERSONATION,hinglish,HDFC Alert: Unusual activity. Verify account: http://isdd-synthetic.invalid/update [v529],HDFC Alert: Unusual activity. Verify account: http://isdd-synthetic.invalid/update [v529],HDFC alert verify: http://isdd-synthetic.invalid/update,unknown,True,False,False,True,0.94,SYNTH_ISDD,Synthetic BANK_IMPERSONATION sample for ISDD v1.0,banking_impersonation|account_threat|suspicious_link,HDFC_BANK,high
ISDD_SMS_01800,2026-05-12T10:36:00Z,SMS,1,KYC_FRAUD,hindi,आपका आधार KYC expire हो रहा है है। अपडेट करें: http://sample-fraud.invalid/claim [v1800],Your Aadhar KYC expire हो रहा है. Update: http://sample-fraud.invalid/claim [v1800],Aapka Aadhar KYC expire हो रहा है hai. Update karein: http://sample-fraud.invalid/claim,unknown,True,False,True,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_WHATSAPP_01035,2026-05-12T10:12:00Z,WHATSAPP,1,FAKE_JOB_OFFER,hindi,"सरकारी नौकरी: ₹2,00,000 महीना। तुरंत रजिस्टर: http://demo-scam-lab.invalid/kyc [v1035]","Government job: ₹2,00,000/month. Register now: http://demo-scam-lab.invalid/kyc [v1035]","Sarkari naukri Rs 2,00,000/month. Register: http://demo-scam-lab.invalid/kyc",unknown,True,False,False,True,0.88,SYNTH_ISDD,Synthetic FAKE_JOB_OFFER sample for ISDD v1.0,financial_keywords|suspicious_link|urgent_language,EMPLOYER/JOB_SITE,high
ISDD_WHATSAPP_00707,2026-05-12T10:43:00Z,EMAIL,0,,hinglish,"Bro send me the project file when free, no rush. (13) [v707]","Bro send me the project file when free, no rush. (13) [v707]",Send project file when free (13),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00619,2026-05-12T10:36:00Z,SMS,1,UPI_FRAUD,marathi,तुमचे Google Pay खाते ब्लॉक झाले. लगेच लिंक उघडा: http://isdd-synthetic.invalid/update [v619],Your Google Pay account is blocked. Open link immediately: http://isdd-synthetic.invalid/update [v619],Tumche Google Pay khate block zale. Lagech link ughda: http://isdd-synthetic.invalid/update,unknown,True,True,True,False,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,GOOGLE_PAY,high
ISDD_SMS_00850,2026-05-12T10:29:00Z,SMS,1,UPI_FRAUD,hindi,आपका Google Pay अकाउंट सीमित हो गया। तुरंत सत्यापित करें: http://demo-scam-lab.invalid/kyc [v850],Your Google Pay account is limited. Verify immediately: http://demo-scam-lab.invalid/kyc [v850],Aapka Google Pay account seemit ho gaya. Turant satyapit karein: http://demo-scam-lab.invalid/kyc,unknown,True,False,False,True,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,GOOGLE_PAY,high
ISDD_SMS_01272,2026-05-12T10:40:00Z,SMS,1,KYC_FRAUD,hinglish,"Dear user, KYC pending for bank account. Complete on http://example-training.invalid/verify before midnight.","Dear user, KYC pending for bank account. Complete on http://example-training.invalid/verify before midnight.",KYC pending. Complete on http://example-training.invalid/verify before midnight,unknown,True,False,False,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_WHATSAPP_01578,2026-05-12T10:21:00Z,WHATSAPP,1,FAKE_JOB_OFFER,english,"Work from home! Earn ₹50,000 per day. No experience. Register: http://isdd-synthetic.invalid/update [v1578]","Work from home! Earn ₹50,000 per day. No experience. Register: http://isdd-synthetic.invalid/update [v1578]","WFH earn Rs 50,000/day. Register: http://isdd-synthetic.invalid/update",unknown,True,False,False,False,0.88,SYNTH_ISDD,Synthetic FAKE_JOB_OFFER sample for ISDD v1.0,financial_keywords|suspicious_link|urgent_language,EMPLOYER/JOB_SITE,high
ISDD_EMAIL_00458,2026-05-12T10:56:00Z,WHATSAPP,0,,tamil,நாளை கூட்டம் 3 மணிக்கு. வருவீர்களா? (14) [v458],Meeting tomorrow at 3 PM. Will you come? (14) [v458],Naalai meeting 3 mani (14),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00680,2026-05-12T10:58:00Z,EMAIL,0,,english,Reminder: Team standup at 10 AM in Room 204. (36) [v680],Reminder: Team standup at 10 AM in Room 204. (36) [v680],Standup 10 AM room 204 (36),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00788,2026-05-12T10:45:00Z,WHATSAPP,1,LOTTERY_PRIZE_SCAM,hinglish,"Amazon raffle winner! ₹1,00,000 prize. Click http://sample-fraud.invalid/claim to redeem.","Amazon raffle winner! ₹1,00,000 prize. Click http://sample-fraud.invalid/claim to redeem.","Amazon raffle winner Rs 1,00,000. Click http://sample-fraud.invalid/claim",unknown,True,False,False,False,0.87,SYNTH_ISDD,Synthetic LOTTERY_PRIZE_SCAM sample for ISDD v1.0,urgent_language|suspicious_link|impersonation,LOTTERY_ORGANIZATION,medium
ISDD_SMS_01524,2026-05-12T10:30:00Z,SMS,1,KYC_FRAUD,hindi,आपका आधार KYC pending है। अपडेट करें: http://training-only.invalid/pay [v1524],Your Aadhar KYC pending. Update: http://training-only.invalid/pay [v1524],Aapka Aadhar KYC pending hai. Update karein: http://training-only.invalid/pay,unknown,True,False,False,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_SMS_01751,2026-05-12T10:36:00Z,SMS,1,UPI_FRAUD,marathi,तुमचे Google Pay खाते ब्लॉक झाले. लगेच लिंक उघडा: http://isdd-synthetic.invalid/update [v1751],Your Google Pay account is blocked. Open link immediately: http://isdd-synthetic.invalid/update [v1751],Tumche Google Pay khate block zale. Lagech link ughda: http://isdd-synthetic.invalid/update,unknown,True,True,True,False,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,GOOGLE_PAY,high
ISDD_EMAIL_01036,2026-05-12T10:04:00Z,WHATSAPP,0,,english,Your order #48291 has been delivered. Thank you for shopping. (42) [v1036],Your order #48291 has been delivered. (42) [v1036],Order delivered thank you (42),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_01730,2026-05-12T10:50:00Z,SMS,1,UPI_FRAUD,hinglish,URGENT: Your PhonePe UPI is blocked. Update now http://sample-fraud.invalid/claim else account close.,URGENT: Your PhonePe UPI is blocked. Update now http://sample-fraud.invalid/claim else account close.,URGENT: Your PhonePe UPI blocked. Update now http://sample-fraud.invalid/claim,unknown,True,True,True,True,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,PHONEPE,high
ISDD_EMAIL_01919,2026-05-12T10:05:00Z,SMS,0,,marathi,मी तुम्हाला संध्याकाळी भेटू. ठीक आहे का? (31) [v1919],I will meet you this evening. OK? (31) [v1919],Mi tumhala sandhyakali bhetu. (31),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_EMAIL_01125,2026-05-12T10:13:00Z,SMS,1,BANK_IMPERSONATION,hinglish,Kotak Alert: Unusual activity. Verify account: http://isdd-synthetic.invalid/update [v1125],Kotak Alert: Unusual activity. Verify account: http://isdd-synthetic.invalid/update [v1125],Kotak alert verify: http://isdd-synthetic.invalid/update,unknown,True,False,False,True,0.94,SYNTH_ISDD,Synthetic BANK_IMPERSONATION sample for ISDD v1.0,banking_impersonation|account_threat|suspicious_link,Kotak_BANK,high
ISDD_SMS_01906,2026-05-12T10:37:00Z,WHATSAPP,1,LOTTERY_PRIZE_SCAM,english,"Congratulations! You won ₹1,00,000 in lucky draw. Claim: http://isdd-synthetic.invalid/update [v1906]","Congratulations! You won ₹1,00,000 in lucky draw. Claim: http://isdd-synthetic.invalid/update [v1906]","You won Rs 1,00,000. Claim: http://isdd-synthetic.invalid/update",unknown,True,False,False,False,0.87,SYNTH_ISDD,Synthetic LOTTERY_PRIZE_SCAM sample for ISDD v1.0,urgent_language|suspicious_link|impersonation,LOTTERY_ORGANIZATION,medium
ISDD_WHATSAPP_01353,2026-05-12T10:57:00Z,WHATSAPP,0,,english,OTP for login to your trading app is 839201. Do not share with anyone. (9) [v1353],OTP for login is 839201. Do not share. (9) [v1353],OTP 839201 do not share (9),personal,False,False,False,True,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00621,2026-05-12T10:13:00Z,SMS,1,UPI_FRAUD,marathi,तुमचे PhonePe खाते ब्लॉक झाले. लगेच लिंक उघडा: http://example-training.invalid/verify [v621],Your PhonePe account is blocked. Open link immediately: http://example-training.invalid/verify [v621],Tumche PhonePe khate block zale. Lagech link ughda: http://example-training.invalid/verify,unknown,True,True,True,False,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,PHONEPE,high
ISDD_WHATSAPP_00576,2026-05-12T10:53:00Z,EMAIL,0,,english,Your order #48291 has been delivered. Thank you for shopping. (32) [v576],Your order #48291 has been delivered. (32) [v576],Order delivered thank you (32),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00610,2026-05-12T10:05:00Z,SMS,0,,english,Reminder: Team standup at 10 AM in Room 204. (16) [v610],Reminder: Team standup at 10 AM in Room 204. (16) [v610],Standup 10 AM room 204 (16),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_00477,2026-05-12T10:40:00Z,WHATSAPP,1,FAKE_JOB_OFFER,hindi,"सरकारी नौकरी: ₹5,00,000 महीना। तुरंत रजिस्टर: http://training-only.invalid/pay [v477]","Government job: ₹5,00,000/month. Register now: http://training-only.invalid/pay [v477]","Sarkari naukri Rs 5,00,000/month. Register: http://training-only.invalid/pay",unknown,True,False,False,False,0.88,SYNTH_ISDD,Synthetic FAKE_JOB_OFFER sample for ISDD v1.0,financial_keywords|suspicious_link|urgent_language,EMPLOYER/JOB_SITE,high
ISDD_EMAIL_01324,2026-05-12T10:20:00Z,WHATSAPP,0,,hindi,"नमस्ते, कल मीटिंग 2 बजे है। कृपया आ जाइए। (30) [v1324]","Hi, meeting tomorrow at 2 PM. Please come. (30) [v1324]","Namaste, kal meeting 2 baje hai. (30)",personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_01318,2026-05-12T10:12:00Z,WHATSAPP,1,FAKE_JOB_OFFER,hindi,"सरकारी नौकरी: ₹2,00,000 महीना। तुरंत रजिस्टर: http://demo-scam-lab.invalid/kyc [v1318]","Government job: ₹2,00,000/month. Register now: http://demo-scam-lab.invalid/kyc [v1318]","Sarkari naukri Rs 2,00,000/month. Register: http://demo-scam-lab.invalid/kyc",unknown,True,False,False,True,0.88,SYNTH_ISDD,Synthetic FAKE_JOB_OFFER sample for ISDD v1.0,financial_keywords|suspicious_link|urgent_language,EMPLOYER/JOB_SITE,high
ISDD_SMS_01339,2026-05-12T10:59:00Z,WHATSAPP,0,,telugu,రేపు లంచ్ కలుద్దామా? (45) [v1339],Shall we meet for lunch tomorrow? (45) [v1339],Repu lunch kaluddama (45),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_EMAIL_01378,2026-05-12T10:25:00Z,SMS,1,BANK_IMPERSONATION,hinglish,HDFC Alert: Unusual activity. Verify account: http://isdd-synthetic.invalid/update [v1378],HDFC Alert: Unusual activity. Verify account: http://isdd-synthetic.invalid/update [v1378],HDFC alert verify: http://isdd-synthetic.invalid/update,unknown,True,False,False,True,0.94,SYNTH_ISDD,Synthetic BANK_IMPERSONATION sample for ISDD v1.0,banking_impersonation|account_threat|suspicious_link,HDFC_BANK,high
ISDD_SMS_00544,2026-05-12T10:30:00Z,SMS,1,BANK_IMPERSONATION,hindi,आपके Axis खाते में संदिग्ध लेनदेन। तुरंत सत्यापित करें: http://example-training.invalid/verify [v544],Suspicious transaction in your Axis account. Verify immediately: http://example-training.invalid/verify [v544],Axis khate me sandigdh len den. Turant verify: http://example-training.invalid/verify,unknown,True,False,False,False,0.96,SYNTH_ISDD,Synthetic BANK_IMPERSONATION sample for ISDD v1.0,banking_impersonation|urgency_with_fear|suspicious_link,Axis_BANK,critical
ISDD_WHATSAPP_00380,2026-05-12T10:16:00Z,EMAIL,0,,english,Reminder: Team standup at 10 AM in Room 204. (36) [v380],Reminder: Team standup at 10 AM in Room 204. (36) [v380],Standup 10 AM room 204 (36),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_00856,2026-05-12T10:46:00Z,WHATSAPP,0,,english,Your order #48291 has been delivered. Thank you for shopping. (12) [v856],Your order #48291 has been delivered. (12) [v856],Order delivered thank you (12),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_01479,2026-05-12T10:43:00Z,SMS,1,UPI_FRAUD,marathi,तुमचे Paytm खाते ब्लॉक झाले. लगेच लिंक उघडा: http://training-only.invalid/pay [v1479],Your Paytm account is blocked. Open link immediately: http://training-only.invalid/pay [v1479],Tumche Paytm khate block zale. Lagech link ughda: http://training-only.invalid/pay,unknown,True,True,True,False,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,PAYTM,high
ISDD_SMS_01766,2026-05-12T10:27:00Z,WHATSAPP,1,UPI_FRAUD,marathi,तुमचे WhatsApp Pay खाते ब्लॉक झाले. लगेच लिंक उघडा: http://isdd-synthetic.invalid/update [v1766],Your WhatsApp Pay account is blocked. Open link immediately: http://isdd-synthetic.invalid/update [v1766],Tumche WhatsApp Pay khate block zale. Lagech link ughda: http://isdd-synthetic.invalid/update,unknown,True,True,True,False,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,WHATSAPP_PAY,high
ISDD_SMS_00657,2026-05-12T10:15:00Z,SMS,1,UPI_FRAUD,english,Alert: WhatsApp Pay payment failed. Re-verify UPI at http://demo-scam-lab.invalid/kyc [v657],Alert: WhatsApp Pay payment failed. Re-verify UPI at http://demo-scam-lab.invalid/kyc [v657],Alert: WhatsApp Pay payment failed. Re-verify at http://demo-scam-lab.invalid/kyc,unknown,True,False,False,True,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,WHATSAPP_PAY,high
ISDD_SMS_00332,2026-05-12T10:33:00Z,EMAIL,0,,marathi,तुझा प्रोजेक्ट मी पाहिला. छान आहे! (38) [v332],I saw your project. It looks great! (38) [v332],Tujha project changla aahe (38),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_01284,2026-05-12T10:24:00Z,EMAIL,0,,hindi,"नमस्ते, कल मीटिंग 2 बजे है। कृपया आ जाइए। (40) [v1284]","Hi, meeting tomorrow at 2 PM. Please come. (40) [v1284]","Namaste, kal meeting 2 baje hai. (40)",personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00138,2026-05-12T10:40:00Z,SMS,1,KYC_FRAUD,marathi,PAN verification अनिवार्य है. लगेच: http://isdd-synthetic.invalid/update [v138],PAN verification अनिवार्य है. Immediately: http://isdd-synthetic.invalid/update [v138],PAN verification अनिवार्य है. Lagech: http://isdd-synthetic.invalid/update,unknown,True,True,False,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_SMS_00873,2026-05-12T10:26:00Z,WHATSAPP,1,UPI_FRAUD,hindi,आपका BHIM UPI अकाउंट सीमित हो गया। तुरंत सत्यापित करें: http://training-only.invalid/pay [v873],Your BHIM UPI account is limited. Verify immediately: http://training-only.invalid/pay [v873],Aapka BHIM UPI account seemit ho gaya. Turant satyapit karein: http://training-only.invalid/pay,unknown,True,False,False,True,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,BHIM_UPI,high
ISDD_SMS_01528,2026-05-12T10:11:00Z,SMS,1,KYC_FRAUD,hindi,आपका आधार KYC needs update है। अपडेट करें: http://isdd-synthetic.invalid/update [v1528],Your Aadhar KYC needs update. Update: http://isdd-synthetic.invalid/update [v1528],Aapka Aadhar KYC needs update hai. Update karein: http://isdd-synthetic.invalid/update,unknown,True,False,False,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_SMS_00069,2026-05-12T10:29:00Z,EMAIL,0,,telugu,రేపు లంచ్ కలుద్దామా? (25) [v69],Shall we meet for lunch tomorrow? (25) [v69],Repu lunch kaluddama (25),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00964,2026-05-12T10:58:00Z,SMS,1,KYC_FRAUD,hindi,आपका आधार KYC अनिवार्य है है। अपडेट करें: http://example-training.invalid/verify [v964],Your Aadhar KYC अनिवार्य है. Update: http://example-training.invalid/verify [v964],Aapka Aadhar KYC अनिवार्य है hai. Update karein: http://example-training.invalid/verify,unknown,True,False,False,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_SMS_00998,2026-05-12T10:30:00Z,SMS,1,KYC_FRAUD,hinglish,"Dear user, KYC pending for bank account. Complete on http://training-only.invalid/pay before midnight.","Dear user, KYC pending for bank account. Complete on http://training-only.invalid/pay before midnight.",KYC pending. Complete on http://training-only.invalid/pay before midnight,unknown,True,False,False,True,0.9,SYNTH_ISDD,Synthetic KYC_FRAUD sample for ISDD v1.0,urgent_language|personal_info_request|suspicious_link,AADHAR/UIDAI,high
ISDD_EMAIL_00375,2026-05-12T10:05:00Z,SMS,0,,marathi,मी तुम्हाला संध्याकाळी भेटू. ठीक आहे का? (31) [v375],I will meet you this evening. OK? (31) [v375],Mi tumhala sandhyakali bhetu. (31),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_01494,2026-05-12T10:18:00Z,WHATSAPP,0,,hindi,"नमस्ते, कल मीटिंग 2 बजे है। कृपया आ जाइए। (0) [v1494]","Hi, meeting tomorrow at 2 PM. Please come. (0) [v1494]","Namaste, kal meeting 2 baje hai. (0)",personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_01975,2026-05-12T10:41:00Z,SMS,1,BANK_IMPERSONATION,hindi,आपके Kotak खाते में संदिग्ध लेनदेन। तुरंत सत्यापित करें: http://isdd-synthetic.invalid/update [v1975],Suspicious transaction in your Kotak account. Verify immediately: http://isdd-synthetic.invalid/update [v1975],Kotak khate me sandigdh len den. Turant verify: http://isdd-synthetic.invalid/update,unknown,True,False,False,False,0.96,SYNTH_ISDD,Synthetic BANK_IMPERSONATION sample for ISDD v1.0,banking_impersonation|urgency_with_fear|suspicious_link,Kotak_BANK,critical
